city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
hambantota,lk,2017-08-23 09:51:42,81.12,6.12,80.72,98.0,64.0,14.23
hamilton,bm,2017-08-23 08:55:00,-64.78,32.29,84.2,66.0,20.0,10.29
hammerfest,no,2017-08-23 08:50:00,23.68,70.66,48.2,76.0,75.0,10.29
hamza,uz,2017-08-23 08:30:00,71.5,40.43,77.0,53.0,92.0,6.93
hanover,us,2017-08-23 09:15:00,-70.81,42.11,82.4,57.0,75.0,5.61
harper,lr,2017-08-23 09:00:00,-7.72,4.38,80.6,74.0,75.0,11.41
havelock,us,2017-08-23 08:58:00,-76.9,34.88,89.6,62.0,1.0,6.93
hearst,ca,2017-08-23 09:51:44,-83.67,49.68,50.66,100.0,92.0,9.98
henties bay,na,2017-08-23 09:51:44,14.28,-22.12,58.94,87.0,0.0,3.83
hermanus,za,2017-08-23 09:51:45,19.23,-34.42,52.37,86.0,80.0,8.3
hithadhoo,mv,2017-08-23 09:51:45,73.08,-0.6,84.5,100.0,92.0,6.85
hofn,is,2017-08-23 09:00:00,-15.21,64.25,51.8,100.0,75.0,8.05
hualmay,pe,2017-08-23 09:51:45,-77.61,-11.1,67.49,68.0,20.0,5.73
huanuni,bo,2017-08-23 09:00:00,-66.85,-18.27,55.4,30.0,0.0,9.17
huarmey,pe,2017-08-23 09:51:46,-78.15,-10.07,71.27,55.0,0.0,4.94
huayucachi,pe,2017-08-23 09:51:46,-75.23,-12.13,60.83,28.0,8.0,2.26
huescar,es,2017-08-23 09:51:47,-2.54,37.81,84.41,24.0,24.0,4.61
huntington,us,2017-08-23 09:35:00,-82.45,38.42,77.0,53.0,40.0,4.05
husavik,is,2017-08-23 09:00:00,-17.34,66.04,53.6,76.0,20.0,13.87
iacu,br,2017-08-23 09:51:47,-40.21,-12.77,77.3,68.0,44.0,17.02
igarape-miri,br,2017-08-23 09:51:48,-48.96,-1.98,85.94,82.0,8.0,5.95
iguape,br,2017-08-23 09:51:48,-47.56,-24.71,71.72,83.0,0.0,12.44
ihosy,mg,2017-08-23 09:51:48,46.12,-22.4,70.1,50.0,48.0,6.96
